Date,Close/Last,Volume,Open,High,Low
7/9/2024,$190.44 ,10224930,$191.75 ,$192.86 ,$190.23 
7/8/2024,$190.48 ,12097610,$191.37 ,$191.68 ,$189.32 
7/5/2024,$191.96 ,14303360,$187.32 ,$192.26 ,$187.32 
7/3/2024,$187.39 ,7409106,$186.30 ,$187.62 ,$185.39 
7/2/2024,$186.61 ,12555550,$183.47 ,$186.95 ,$183.06 
7/1/2024,$184.49 ,11815860,$184.48 ,$185.34 ,$182.73 
6/28/2024,$183.42 ,23032360,$185.72 ,$186.58 ,$183.33 
6/27/2024,$186.86 ,13025660,$185.65 ,$187.50 ,$185.45 
6/26/2024,$185.37 ,13375720,$184.20 ,$185.93 ,$183.99 
6/25/2024,$185.58 ,18917730,$181.15 ,$185.75 ,$181.11 
6/24/2024,$180.79 ,18198280,$181.28 ,$182.08 ,$180.23 
6/21/2024,$180.26 ,59728020,$178.49 ,$182.51 ,$178.06 
6/20/2024,$177.71 ,16753170,$176.71 ,$178.74 ,$176.46 
6/18/2024,$176.45 ,15640260,$178.79 ,$178.91 ,$175.62 
6/17/2024,$178.78 ,15272860,$176.98 ,$179.92 ,$176.49 
6/14/2024,$178.37 ,12361570,$175.85 ,$178.73 ,$175.85 
6/13/2024,$176.74 ,15956940,$177.84 ,$178.51 ,$176.66 
6/12/2024,$179.56 ,18600420,$179.75 ,$182.08 ,$177.78 
6/11/2024,$178.19 ,14402400,$177.72 ,$178.39 ,$175.44 
6/10/2024,$176.63 ,17122250,$176.45 ,$178.47 ,$174.38 
6/7/2024,$175.95 ,14716270,$178.46 ,$179.42 ,$175.79 
6/6/2024,$178.35 ,14255820,$177.43 ,$178.71 ,$177.21 
6/5/2024,$177.07 ,15233860,$176.54 ,$177.97 ,$175.29 
6/4/2024,$175.13 ,14066600,$174.45 ,$175.19 ,$173.22 
6/3/2024,$174.42 ,20742800,$173.88 ,$175.86 ,$172.45 
5/31/2024,$173.96 ,28085150,$173.40 ,$174.42 ,$170.97 
5/30/2024,$173.56 ,18844040,$176.69 ,$176.69 ,$173.23 
5/29/2024,$177.40 ,15023850,$176.81 ,$178.23 ,$176.26 
5/28/2024,$178.02 ,15655340,$175.74 ,$178.51 ,$175.68 
5/24/2024,$176.33 ,11403560,$176.52 ,$177.30 ,$175.20 
5/23/2024,$175.06 ,14928360,$178.78 ,$179.91 ,$174.54 
5/22/2024,$178.00 ,16189400,$178.40 ,$178.85 ,$176.78 
5/21/2024,$179.54 ,14706020,$178.40 ,$179.82 ,$177.31 
5/20/2024,$178.46 ,17495120,$177.31 ,$179.95 ,$177.23 
5/17/2024,$177.29 ,16546350,$175.55 ,$177.50 ,$174.98 
5/16/2024,$175.43 ,17247310,$174.60 ,$176.34 ,$174.05 
5/15/2024,$173.88 ,20958250,$172.30 ,$174.05 ,$172.03 
5/14/2024,$171.93 ,18729460,$171.59 ,$172.78 ,$170.42 
5/13/2024,$170.90 ,19648590,$165.85 ,$170.95 ,$165.76 
5/10/2024,$170.29 ,18740460,$169.69 ,$171.34 ,$167.91 
5/9/2024,$171.58 ,11937700,$171.15 ,$172.44 ,$169.93 
5/8/2024,$171.16 ,14569860,$170.75 ,$171.91 ,$170.52 
5/7/2024,$172.98 ,21102430,$170.12 ,$173.47 ,$170.00 
5/6/2024,$169.83 ,15147910,$169.22 ,$169.90 ,$167.89 
5/3/2024,$168.99 ,22767060,$169.54 ,$169.85 ,$164.98 
5/2/2024,$168.46 ,17041120,$166.67 ,$168.53 ,$165.69 
5/1/2024,$165.57 ,25223250,$166.18 ,$168.81 ,$164.90 
4/30/2024,$164.64 ,29420760,$167.38 ,$169.87 ,$164.50 
4/29/2024,$167.90 ,35914560,$170.77 ,$171.38 ,$167.06 
4/26/2024,$173.69 ,56500790,$175.99 ,$176.42 ,$171.40 
4/25/2024,$157.95 ,36197790,$153.36 ,$158.28 ,$152.77 
4/24/2024,$161.10 ,19485690,$159.09 ,$161.39 ,$158.82 
4/23/2024,$159.92 ,16115410,$158.59 ,$160.48 ,$157.97 
4/22/2024,$157.95 ,17243870,$156.01 ,$159.19 ,$155.66 
4/19/2024,$155.72 ,21479880,$157.75 ,$157.99 ,$153.91 
4/18/2024,$157.46 ,14016070,$156.93 ,$158.49 ,$156.21 
4/17/2024,$156.88 ,16237750,$157.19 ,$158.68 ,$156.14 
4/16/2024,$156.00 ,15413200,$155.64 ,$157.23 ,$155.05 
4/15/2024,$156.33 ,21140950,$160.28 ,$160.83 ,$156.15 
4/12/2024,$159.19 ,16989770,$159.41 ,$161.70 ,$158.60 
4/11/2024,$160.79 ,17841700,$158.34 ,$161.12 ,$157.93 
4/10/2024,$157.66 ,16339170,$157.88 ,$158.16 ,$156.20 
4/9/2024,$158.14 ,21538140,$157.35 ,$159.89 ,$156.64 
4/8/2024,$156.14 ,16641530,$154.02 ,$156.66 ,$153.99 
4/5/2024,$153.94 ,16297320,$151.68 ,$154.84 ,$151.08 
4/4/2024,$151.94 ,24184840,$155.08 ,$156.18 ,$151.88 
4/3/2024,$156.37 ,17266180,$154.92 ,$156.55 ,$154.13 
4/2/2024,$155.87 ,17598060,$154.75 ,$155.99 ,$153.46 
4/1/2024,$156.50 ,24469820,$151.83 ,$157.00 ,$151.65 
3/28/2024,$152.26 ,21105630,$152.00 ,$152.67 ,$151.33 
3/27/2024,$151.94 ,16621960,$152.15 ,$152.69 ,$150.13 
3/26/2024,$151.70 ,19312690,$151.24 ,$153.20 ,$151.03 
3/25/2024,$151.15 ,15114730,$150.95 ,$151.46 ,$148.80 
3/22/2024,$151.77 ,19252930,$150.24 ,$152.56 ,$150.09 
3/21/2024,$148.74 ,19843920,$150.32 ,$151.31 ,$148.01 
3/20/2024,$149.68 ,17730000,$148.79 ,$149.76 ,$147.67 
3/19/2024,$147.92 ,17748370,$148.98 ,$149.62 ,$147.01 
3/18/2024,$148.48 ,47676690,$149.37 ,$152.93 ,$148.14 
3/15/2024,$142.17 ,41039490,$143.41 ,$144.34 ,$141.13 
3/14/2024,$144.34 ,36117910,$142.30 ,$144.73 ,$141.49 
3/13/2024,$140.77 ,19637000,$140.06 ,$142.19 ,$140.01 
3/12/2024,$139.62 ,19019700,$138.25 ,$140.28 ,$138.21 
3/11/2024,$138.94 ,22536370,$137.07 ,$139.98 ,$137.07 
3/8/2024,$136.29 ,26495160,$135.04 ,$138.99 ,$134.80 
3/7/2024,$135.24 ,24107280,$133.89 ,$135.82 ,$132.66 
3/6/2024,$132.56 ,23175200,$134.24 ,$134.74 ,$131.95 
3/5/2024,$133.78 ,28447550,$132.74 ,$134.02 ,$131.55 
3/4/2024,$134.20 ,43571510,$136.54 ,$136.63 ,$132.86 
3/1/2024,$138.08 ,28551530,$139.61 ,$140.00 ,$137.98 
2/29/2024,$139.78 ,35485010,$138.35 ,$139.95 ,$137.57 
2/28/2024,$137.43 ,30628700,$139.10 ,$139.28 ,$136.64 
2/27/2024,$140.10 ,22363980,$139.41 ,$140.49 ,$138.50 
2/26/2024,$138.75 ,33513010,$143.45 ,$143.84 ,$138.74 
2/23/2024,$145.29 ,14519430,$144.97 ,$145.96 ,$144.79 
2/22/2024,$145.32 ,23024710,$146.12 ,$146.20 ,$144.01 
2/21/2024,$143.84 ,16499580,$142.64 ,$143.98 ,$141.91 
2/20/2024,$142.20 ,18625590,$140.94 ,$143.33 ,$140.80 
